region_name,latitude,longitude,date,year,month,avg_temperature_c,rainfall_mm,humidity_percent,ndvi,water_body_index,population,mosquito_density,healthcare_access_score,poverty_index,climate_anomaly_score,malaria_cases,malaria_incidence_rate,outbreak_flag
Rivers,8.2539,5.1117,2022-02-01,2022,2,30.01,22.62,71.99,0.472,0.575,2749096,103.79,70.06,37.62,1.31,369,13.42,0
Sokoto,6.5897,12.1835,2020-12-01,2020,12,25.16,64.75,92.3,0.623,0.493,1329315,97.2,53.91,26.06,0.68,418,31.44,0
Rivers,8.4866,7.1337,2018-08-01,2018,8,30.51,48.97,94.98,0.552,0.536,2265374,124.6,50.88,78.48,-0.2,610,26.93,1
Oyo,7.1059,9.7168,2025-03-01,2025,3,25.31,131.88,76.43,0.566,0.641,1951411,132.38,74.49,54.83,-1.69,497,25.47,0
Kebbi,10.0426,5.5723,2019-02-01,2019,2,30.85,47.85,87.65,0.511,0.033,841006,92.54,43.82,35.42,1.28,351,41.74,0
Lagos,4.8548,11.1268,2022-10-01,2022,10,23.17,97.88,50.13,0.74,0.234,1635667,79.71,71.87,23.67,1.53,367,22.44,0
Akwa Ibom,12.5921,4.764,2023-05-01,2023,5,23.67,34.3,81.41,0.365,0.252,2459696,88.36,47.24,55.01,1.14,535,21.75,1
Rivers,4.4959,12.8176,2018-10-01,2018,10,29.27,149.06,59.97,0.445,0.496,1279748,107.01,85.15,59.52,1.89,442,34.54,0
Cross River,7.8579,5.9993,2020-02-01,2020,2,27.83,105.78,86.4,0.638,0.238,1848336,99.07,63.48,33.49,0.6,445,24.08,0
Borno,7.9041,6.51,2019-11-01,2019,11,29.2,118.55,86.12,0.364,0.422,1669409,124.26,49.82,62.94,0.66,532,31.87,1
Kano,6.1344,10.627,2023-07-01,2023,7,22.39,160.31,77.17,0.68,0.536,180864,100.91,48.61,28.57,1.42,484,267.6,0
Oyo,11.9241,13.123,2021-04-01,2021,4,27.08,37.99,64.7,0.844,0.563,2391152,108.91,81.84,44.9,-1.81,492,20.58,0
Benue,7.038,11.2268,2021-02-01,2021,2,27.4,207.75,76.48,0.711,0.663,543622,105.6,58.34,34.82,-0.54,535,98.41,1
Kebbi,4.9,9.8106,2024-05-01,2024,5,31.71,176.47,77.56,0.309,0.242,280066,116.94,58.86,46.61,3.79,432,154.25,0
Enugu,7.0519,7.8193,2022-11-01,2022,11,26.37,200.15,55.45,0.55,0.561,2215742,101.86,49.93,33.37,0.0,530,23.92,1
Cross River,6.8793,12.1094,2021-08-01,2021,8,30.27,188.01,77.71,0.656,0.601,273923,139.57,48.34,47.32,0.56,651,237.66,1
Enugu,7.7973,10.3964,2025-08-01,2025,8,27.65,77.65,74.76,0.618,0.099,1475479,85.52,59.78,84.65,0.34,408,27.65,0
Cross River,6.9747,9.8304,2025-11-01,2025,11,23.69,202.85,73.2,0.573,0.355,1375661,113.46,74.15,53.92,-0.91,466,33.87,0
Cross River,11.6256,12.8338,2025-04-01,2025,4,27.72,110.93,92.56,0.527,0.39,100044,109.48,61.79,68.78,0.43,589,588.74,1
Enugu,4.8573,10.2143,2023-10-01,2023,10,33.52,161.14,72.34,0.621,0.919,2732133,152.87,75.05,23.37,-0.43,502,18.37,1
Akwa Ibom,10.9134,11.2962,2018-09-01,2018,9,32.42,88.96,69.87,0.768,0.423,2975098,118.72,37.4,47.92,-0.91,493,16.57,0
Rivers,7.1539,4.6957,2023-07-01,2023,7,25.68,212.85,73.68,0.518,0.554,1689872,101.69,59.37,26.16,-0.0,487,28.82,0
Lagos,12.4308,13.8206,2025-05-01,2025,5,27.37,12.51,77.68,0.553,0.485,198865,108.67,82.99,61.22,-1.17,427,214.72,0
Lagos,11.3197,5.2168,2018-02-01,2018,2,26.81,144.16,74.23,0.454,0.663,445063,132.76,49.3,52.96,-0.55,663,148.97,1
Niger,13.6085,8.9193,2023-10-01,2023,10,33.65,38.77,52.64,0.287,0.549,183001,104.63,69.34,61.47,-2.97,513,280.33,1
Borno,7.5977,12.6971,2022-08-01,2022,8,28.82,126.06,64.91,0.488,0.621,2703611,107.42,56.2,77.37,1.37,511,18.9,1
Sokoto,9.9046,10.0414,2021-03-01,2021,3,25.49,88.82,59.65,0.64,0.596,127354,98.88,46.19,62.0,0.31,459,360.41,0
Niger,5.0743,8.3888,2023-05-01,2023,5,23.93,257.19,65.68,0.476,0.509,1411094,108.38,62.21,33.77,-1.5,475,33.66,0
Akwa Ibom,12.4714,3.0371,2023-06-01,2023,6,30.81,156.88,61.86,0.546,0.564,2989404,101.67,64.42,41.09,0.81,410,13.72,0
Benue,9.9293,4.3402,2020-03-01,2020,3,28.19,110.71,75.27,0.483,0.541,1056137,104.65,31.22,13.17,0.16,392,37.12,0
Akwa Ibom,4.974,12.4032,2021-11-01,2021,11,28.28,240.26,67.25,0.545,0.37,1674272,103.71,51.2,46.94,-1.85,461,27.53,0
Plateau,9.8828,9.2808,2022-09-01,2022,9,23.37,118.69,79.38,0.825,0.572,883038,105.53,82.68,41.92,-0.81,533,60.36,1
Akwa Ibom,7.7648,13.0042,2018-08-01,2018,8,27.49,162.6,84.63,0.502,0.378,188519,120.16,78.63,65.81,-0.18,663,351.69,1
Rivers,7.637,4.0636,2022-06-01,2022,6,30.39,150.2,72.87,0.649,0.547,753407,114.6,69.94,46.87,-1.51,601,79.77,1
Benue,11.0708,6.5731,2024-07-01,2024,7,30.3,91.03,86.3,0.57,0.706,50184,115.87,68.24,34.4,-0.64,537,1070.06,1
Kaduna,5.1979,8.4337,2022-01-01,2022,1,27.08,165.81,58.34,0.405,0.468,1874011,114.06,71.36,10.52,-1.27,454,24.23,0
Lagos,10.968,7.2017,2025-02-01,2025,2,28.87,112.57,79.54,0.762,0.245,1552651,96.53,47.92,47.89,-1.41,390,25.12,0
Niger,6.931,7.9761,2018-04-01,2018,4,29.22,146.3,71.84,0.548,0.687,133404,125.12,57.05,15.3,-2.47,635,476.0,1
Lagos,8.0168,5.7752,2018-02-01,2018,2,32.09,70.67,72.15,0.62,0.463,2887170,96.98,60.62,49.58,0.63,373,12.92,0
Kebbi,10.3837,8.884,2024-06-01,2024,6,24.5,197.56,74.11,0.252,0.506,1571267,118.12,48.42,58.07,-1.61,649,41.3,1
Anambra,8.9026,12.3987,2024-11-01,2024,11,28.06,48.38,81.29,0.655,0.565,267975,111.59,45.13,38.51,-0.03,478,178.37,0
Niger,4.5443,9.8835,2020-08-01,2020,8,35.02,81.08,66.95,0.478,0.492,1192776,112.73,33.61,62.34,-0.08,578,48.46,1
Enugu,4.37,6.1973,2019-12-01,2019,12,25.47,234.38,53.07,0.545,0.487,2312531,94.49,53.74,43.33,-1.65,511,22.1,1
Kaduna,7.3019,4.229,2019-04-01,2019,4,26.95,76.74,68.18,0.513,0.456,965360,99.08,63.36,53.66,-1.96,443,45.89,0
Borno,6.5943,6.4187,2025-03-01,2025,3,23.58,54.75,80.41,0.49,0.481,1585595,99.64,71.75,53.85,1.88,436,27.5,0
Enugu,12.5274,12.8167,2019-05-01,2019,5,26.96,156.09,96.85,0.583,0.834,539218,115.41,60.34,29.05,0.41,576,106.82,1
Anambra,13.4596,13.5604,2018-03-01,2018,3,28.5,184.84,65.96,0.457,0.384,177390,104.66,60.54,30.64,-0.71,401,226.06,0
Niger,8.0407,5.5926,2021-10-01,2021,10,23.17,157.41,86.02,0.763,0.116,1874472,102.69,79.57,69.99,-1.5,494,26.35,0
Kano,8.2019,12.5838,2021-03-01,2021,3,25.52,176.17,80.35,0.317,0.316,1708086,108.51,80.39,17.68,2.26,441,25.82,0
Kano,4.5016,10.9751,2018-01-01,2018,1,32.84,100.95,86.42,0.54,0.599,203016,109.31,68.99,48.55,0.99,438,215.75,0
Borno,12.5805,12.6353,2021-12-01,2021,12,25.99,94.66,67.36,0.312,0.571,1259325,101.41,48.8,36.16,2.78,481,38.2,0
Sokoto,12.5159,8.9583,2020-07-01,2020,7,28.39,227.55,64.65,0.434,0.406,2328274,100.95,65.95,64.23,0.08,526,22.59,1
Plateau,11.0989,10.7081,2025-07-01,2025,7,21.92,87.47,75.95,0.235,0.043,547981,80.62,57.24,55.11,-1.51,462,84.31,0
Enugu,8.9658,8.8095,2022-04-01,2022,4,30.82,111.26,83.69,0.791,0.424,2484482,126.67,45.27,42.55,-1.71,557,22.42,1
Kaduna,5.8856,12.8352,2020-10-01,2020,10,24.64,126.69,80.38,0.653,0.699,817263,105.31,67.73,45.79,-0.54,501,61.3,1
Sokoto,7.8562,3.619,2021-07-01,2021,7,29.25,252.43,71.48,0.347,0.73,1180027,131.05,40.33,7.77,-0.13,544,46.1,1
Cross River,10.4027,12.3657,2019-09-01,2019,9,28.78,170.9,58.37,0.373,0.544,2974117,108.47,52.12,44.14,0.46,438,14.73,0
Kano,7.745,12.1667,2018-08-01,2018,8,30.71,111.04,74.12,0.579,0.556,2811728,121.43,62.37,34.36,1.12,458,16.29,0
Enugu,4.7408,13.3009,2021-11-01,2021,11,30.16,208.47,63.78,0.133,0.483,1789721,113.83,46.57,52.06,0.55,487,27.21,0
Cross River,7.3567,13.4838,2025-02-01,2025,2,24.64,116.76,58.89,0.308,0.71,2102563,97.19,66.73,79.96,2.52,672,31.96,1
Niger,11.6904,13.8012,2018-05-01,2018,5,28.07,67.71,70.81,0.683,0.169,1107978,116.38,47.16,41.25,-0.71,428,38.63,0
Enugu,13.367,9.3825,2020-11-01,2020,11,29.18,66.59,87.64,0.591,0.53,402780,106.72,73.92,27.52,0.07,432,107.25,0
Kebbi,11.0105,10.6546,2021-08-01,2021,8,31.0,290.41,86.67,0.441,0.583,2945393,132.65,67.93,34.73,-0.71,548,18.61,1
Benue,10.4301,7.5703,2018-09-01,2018,9,25.76,57.43,90.5,0.728,0.851,2451781,113.54,65.04,30.71,2.09,467,19.05,0
Kebbi,7.1554,3.4521,2025-01-01,2025,1,22.05,107.94,74.97,0.465,0.61,2035859,93.97,63.65,48.27,-1.05,532,26.13,1
Borno,10.3392,13.6732,2018-05-01,2018,5,30.21,60.52,61.82,0.686,0.667,1352974,110.96,64.6,5.0,-1.54,367,27.13,0
Niger,13.3983,8.6678,2020-11-01,2020,11,27.33,41.37,85.01,0.35,0.346,613723,111.72,79.45,30.33,-0.22,409,66.64,0
Kaduna,4.0338,6.632,2022-04-01,2022,4,30.92,168.58,73.51,0.507,0.486,1091332,112.94,57.84,49.56,-1.51,477,43.71,0
Cross River,6.0143,3.4485,2022-04-01,2022,4,27.61,64.69,88.05,0.425,0.283,2744836,104.92,41.32,43.17,0.73,395,14.39,0
Kebbi,4.0969,6.719,2024-12-01,2024,12,23.88,185.25,70.99,0.346,0.343,2910688,108.4,55.57,58.31,1.97,578,19.86,1
Oyo,13.4768,9.7246,2021-02-01,2021,2,32.37,78.66,87.75,0.421,0.337,2882200,112.96,77.96,47.58,2.05,483,16.76,0
Niger,9.2323,13.3312,2019-12-01,2019,12,31.7,152.78,76.82,0.481,0.459,2556953,114.64,54.46,60.96,-1.84,642,25.11,1
Lagos,9.9767,8.5238,2018-02-01,2018,2,26.48,83.64,79.85,0.351,0.667,938349,113.84,55.77,47.15,-0.5,455,48.49,0
Benue,8.7186,4.8621,2023-12-01,2023,12,30.18,76.77,82.91,0.294,0.607,300967,126.78,63.95,68.09,-0.06,585,194.37,1
Enugu,6.9497,3.0128,2018-11-01,2018,11,29.83,248.54,67.84,0.327,0.505,1791078,104.51,35.83,26.6,-0.22,465,25.96,0
Kebbi,7.5974,8.1805,2021-03-01,2021,3,26.95,116.45,89.02,0.565,0.679,2911450,106.45,42.36,32.69,3.07,564,19.37,1
Enugu,8.7117,13.1706,2024-07-01,2024,7,27.92,92.88,78.32,0.63,0.591,1205142,122.53,67.16,43.08,4.07,588,48.79,1
Plateau,9.6635,3.1925,2024-09-01,2024,9,29.51,126.55,79.57,0.346,0.123,845383,106.29,90.77,57.5,0.38,489,57.84,0
Akwa Ibom,5.5659,7.2134,2025-10-01,2025,10,25.96,118.34,79.17,0.751,0.529,2165221,105.83,64.75,39.72,-1.79,494,22.82,0
Enugu,7.8767,13.965,2018-03-01,2018,3,28.56,99.29,69.32,0.711,0.31,1335176,89.79,33.86,48.66,0.77,465,34.83,0
Benue,12.3547,9.8794,2024-01-01,2024,1,25.25,160.99,76.39,0.596,0.929,2189682,128.29,81.96,71.29,-0.74,669,30.55,1
Kaduna,6.1055,9.94,2024-08-01,2024,8,31.43,92.66,69.53,0.538,0.699,2984712,110.08,36.57,55.05,-1.77,645,21.61,1
Benue,6.4972,11.5761,2022-04-01,2022,4,29.91,89.29,70.43,0.392,0.558,2739399,106.37,67.01,77.71,-1.04,531,19.38,1
Kaduna,7.8771,8.6625,2023-01-01,2023,1,35.42,212.64,70.06,0.668,0.404,606265,125.8,80.36,78.89,-0.54,606,99.96,1
Lagos,13.2221,9.2659,2022-07-01,2022,7,25.84,378.73,75.32,0.628,0.316,920442,118.34,51.01,53.61,0.52,629,68.34,1
Benue,12.8282,10.902,2018-02-01,2018,2,26.63,209.97,57.24,0.36,0.877,2539505,108.02,57.81,44.02,1.01,468,18.43,0
Kano,6.635,5.6815,2023-08-01,2023,8,28.65,176.98,57.93,0.823,0.486,614719,99.1,54.89,35.38,-1.63,431,70.11,0
Niger,6.021,8.2294,2019-02-01,2019,2,30.05,53.07,75.72,0.429,0.785,2157785,128.45,53.52,93.82,-1.26,713,33.04,1
Kaduna,13.0853,5.8869,2024-01-01,2024,1,27.96,83.73,64.92,0.399,0.204,2282382,92.63,70.29,49.12,0.75,506,22.17,1
Borno,7.6978,10.6642,2019-10-01,2019,10,27.67,109.56,81.58,0.453,0.389,2396748,137.33,78.73,48.41,1.94,576,24.03,1
Sokoto,9.1389,12.2672,2025-05-01,2025,5,28.3,141.43,72.5,0.617,0.744,459366,112.43,75.85,73.72,1.35,629,136.93,1
Enugu,5.7357,8.8118,2022-08-01,2022,8,38.29,92.91,81.25,0.668,0.343,2785122,135.27,79.65,62.29,-3.24,635,22.8,1
Rivers,8.2669,3.8092,2018-03-01,2018,3,28.77,67.22,84.31,0.592,0.52,2621699,114.95,68.17,43.12,-1.18,442,16.86,0
Anambra,6.8152,3.8444,2018-10-01,2018,10,28.21,36.5,76.93,0.467,1.0,2601451,124.22,46.14,24.55,-0.74,485,18.64,0
Rivers,12.1527,11.3274,2023-01-01,2023,1,34.56,147.4,82.7,0.95,0.36,727519,122.2,84.44,16.28,0.2,392,53.88,0
Oyo,9.7561,3.3447,2021-12-01,2021,12,28.36,74.34,75.67,0.485,0.601,1448984,104.23,71.51,28.47,0.29,351,24.22,0
Kaduna,12.0814,11.1946,2021-12-01,2021,12,32.32,214.76,62.42,0.728,0.664,2285632,115.01,56.16,82.32,-0.66,710,31.06,1
Anambra,12.1047,6.1309,2019-05-01,2019,5,22.41,95.73,55.32,0.383,0.728,967658,93.44,67.29,46.48,-0.88,397,41.03,0
Borno,11.9102,9.1698,2021-11-01,2021,11,26.95,68.48,79.19,0.774,0.337,1767563,95.7,73.83,46.11,0.65,383,21.67,0
Oyo,9.1237,3.0847,2021-11-01,2021,11,29.59,194.7,73.08,0.46,0.344,585212,109.26,52.68,72.46,-1.63,625,106.8,1
Sokoto,12.7966,3.4174,2025-09-01,2025,9,28.4,154.19,45.58,0.445,0.559,1416261,99.35,58.36,69.88,0.76,572,40.39,1
Lagos,8.9769,10.5705,2018-10-01,2018,10,26.57,72.16,84.81,0.419,0.039,2454936,100.12,53.78,28.47,-1.3,496,20.2,0
Anambra,4.35,7.0168,2019-10-01,2019,10,23.92,122.37,72.75,0.456,0.543,2990366,125.13,60.99,58.96,-0.67,557,18.63,1
Anambra,8.874,10.6797,2022-11-01,2022,11,24.01,336.12,86.17,0.391,0.615,1059154,102.56,40.48,57.49,1.44,680,64.2,1
Anambra,4.9751,10.2178,2019-02-01,2019,2,26.24,224.17,70.4,0.668,0.617,1442880,113.09,55.09,55.21,-0.52,587,40.68,1
Rivers,9.5074,8.9161,2019-03-01,2019,3,22.76,211.71,75.79,0.516,0.765,2649177,112.6,61.44,52.36,0.28,640,24.16,1
Rivers,6.8565,13.6573,2021-03-01,2021,3,26.13,110.65,65.89,0.699,0.443,1358147,113.31,31.98,30.23,-0.47,523,38.51,1
Oyo,5.7619,9.0101,2023-09-01,2023,9,26.47,195.44,77.6,0.313,0.626,1842360,119.08,65.4,95.0,2.02,626,33.98,1
Rivers,9.6186,9.2785,2020-08-01,2020,8,28.16,195.16,66.51,0.573,0.328,2817584,90.6,60.41,34.85,0.09,559,19.84,1
Borno,13.0594,3.1162,2021-12-01,2021,12,29.51,134.12,78.81,0.605,0.329,186659,124.63,79.73,33.49,-2.69,546,292.51,1
Rivers,10.5439,3.1899,2025-09-01,2025,9,31.96,135.43,74.08,0.633,0.555,1909448,110.2,32.56,45.84,0.11,476,24.93,0
Kano,4.3789,4.5059,2019-05-01,2019,5,25.04,79.11,69.5,0.542,0.048,2532248,86.34,58.54,25.91,1.27,317,12.52,0
Sokoto,5.1761,11.2591,2020-11-01,2020,11,29.41,95.49,63.37,0.367,0.727,1960212,111.53,63.08,56.04,-1.97,542,27.65,1
Akwa Ibom,4.4921,12.1302,2023-01-01,2023,1,30.2,121.66,64.75,0.387,0.518,83043,113.18,68.74,32.12,1.67,524,631.0,1
Sokoto,6.8854,9.035,2024-06-01,2024,6,31.54,287.65,69.75,0.664,0.199,1299462,122.76,53.73,15.28,-2.45,569,43.79,1
Kaduna,10.8464,7.1022,2023-01-01,2023,1,23.77,122.05,73.16,0.612,0.374,1637314,89.17,47.62,34.25,-0.78,507,30.97,1
Anambra,5.4565,7.455,2023-09-01,2023,9,28.24,74.56,78.21,0.76,0.382,2764075,121.4,84.27,53.56,0.18,422,15.27,0
Lagos,8.4095,4.3458,2018-04-01,2018,4,25.07,107.52,66.84,0.668,0.19,456582,95.57,55.0,45.78,-0.73,496,108.63,0
Kebbi,11.8216,8.7809,2023-02-01,2023,2,28.51,80.17,84.09,0.669,0.64,2318963,104.6,77.38,46.38,-1.23,418,18.03,0
Plateau,6.4943,10.6847,2023-06-01,2023,6,31.06,126.83,65.96,0.533,0.518,1417263,125.59,28.44,61.38,1.18,585,41.28,1
Benue,12.8073,4.9494,2022-02-01,2022,2,29.33,41.9,72.27,0.14,0.515,716409,97.16,77.37,31.17,-0.32,343,47.88,0
Anambra,6.1718,7.1762,2022-09-01,2022,9,24.25,47.77,75.22,0.243,0.236,1065005,92.86,69.15,62.38,-2.28,358,33.61,0
Rivers,9.4703,5.9151,2023-09-01,2023,9,27.02,76.13,91.62,0.475,0.178,1999090,103.73,71.42,31.45,1.84,490,24.51,0
Oyo,13.2077,10.1627,2018-07-01,2018,7,32.54,37.18,64.01,0.59,0.341,2709898,112.06,66.65,27.33,0.43,431,15.9,0
Anambra,10.5119,8.3022,2018-06-01,2018,6,27.59,30.08,88.06,0.414,0.358,1359213,101.27,47.26,63.15,1.64,566,41.64,1
Borno,10.4593,7.8375,2023-09-01,2023,9,30.9,249.34,82.16,0.687,0.308,1846688,121.72,66.52,65.62,-0.12,709,38.39,1
Benue,4.4195,11.1839,2024-09-01,2024,9,22.0,118.42,65.97,0.675,0.723,1766611,94.03,53.21,22.09,1.35,461,26.1,0
Niger,7.288,4.5438,2019-10-01,2019,10,24.78,148.58,81.47,0.458,0.621,337179,111.89,47.27,56.24,0.59,594,176.17,1
Oyo,5.3853,7.808,2025-02-01,2025,2,27.29,107.39,74.56,0.611,0.581,1385977,98.8,88.78,20.77,1.5,363,26.19,0
Plateau,6.3895,6.8401,2021-12-01,2021,12,26.57,92.36,75.6,0.674,0.659,1611389,99.97,24.94,26.51,0.55,529,32.83,1
Enugu,5.3303,10.7788,2024-06-01,2024,6,22.77,154.7,81.13,0.663,0.909,2778055,111.66,57.64,37.8,-0.37,445,16.02,0
Enugu,8.1471,13.8074,2021-03-01,2021,3,28.43,63.27,78.0,0.253,0.473,1998092,86.19,68.45,64.34,-2.06,451,22.57,0
Akwa Ibom,5.3214,10.8266,2024-12-01,2024,12,29.25,121.06,71.93,0.452,0.512,1626263,92.98,75.22,32.32,-1.5,452,27.79,0
Enugu,10.0397,12.6121,2021-11-01,2021,11,21.75,129.13,65.56,0.264,0.35,2772951,115.66,56.91,47.22,-2.6,493,17.78,0
Benue,13.1569,5.646,2018-03-01,2018,3,29.13,115.22,90.86,0.693,0.889,1352607,144.78,60.83,30.6,-0.25,618,45.69,1
Kano,8.325,3.6671,2018-05-01,2018,5,27.1,71.36,73.66,0.495,0.698,2427552,99.62,69.9,45.91,0.1,486,20.02,0
Lagos,13.1209,12.8496,2023-02-01,2023,2,27.55,163.31,78.25,0.769,0.497,374377,104.55,62.85,32.03,0.27,405,108.18,0
Oyo,10.6258,8.8192,2023-11-01,2023,11,25.3,31.31,76.58,0.741,0.873,842553,116.3,63.8,27.88,0.17,531,63.02,1
Sokoto,12.8083,11.6236,2022-12-01,2022,12,28.08,139.51,89.59,0.519,0.526,866327,120.59,56.36,56.96,-0.69,635,73.3,1
Oyo,12.5044,4.7962,2021-09-01,2021,9,26.89,168.96,98.0,0.54,0.724,2103923,113.83,52.7,31.15,1.66,557,26.47,1
Kano,6.4022,11.116,2022-10-01,2022,10,28.92,126.45,61.01,0.761,0.492,2148121,121.34,86.09,27.81,2.13,328,15.27,0
Plateau,5.0668,3.3621,2019-08-01,2019,8,29.64,137.36,45.88,0.333,0.655,1334179,126.8,90.29,20.08,-0.31,373,27.96,0
Akwa Ibom,9.0005,4.4324,2021-01-01,2021,1,25.38,121.61,71.48,0.614,0.275,1389180,92.18,63.62,25.69,-0.56,444,31.96,0
Akwa Ibom,6.3254,9.3005,2019-06-01,2019,6,26.48,121.1,72.35,0.594,0.524,1239648,102.41,76.83,74.35,4.44,531,42.83,1
Niger,10.3531,12.6475,2020-07-01,2020,7,31.98,42.99,74.25,0.326,0.494,2488724,114.35,68.48,61.32,-0.47,628,25.23,1
Cross River,5.2076,3.6574,2025-08-01,2025,8,28.87,137.57,78.93,0.558,0.26,2270963,107.15,79.73,33.61,0.6,477,21.0,0
Akwa Ibom,9.2562,6.1795,2023-07-01,2023,7,26.04,58.25,62.42,0.639,0.219,113131,91.1,64.96,36.79,-1.6,390,344.73,0
Enugu,9.306,9.7588,2020-09-01,2020,9,21.63,376.71,70.03,0.868,0.445,433382,105.24,87.98,46.63,2.02,626,144.45,1
Kano,5.8926,3.5759,2021-02-01,2021,2,29.67,202.41,84.54,0.583,0.504,2948436,110.64,32.58,77.35,-0.51,709,24.05,1
Akwa Ibom,5.6006,10.0481,2022-11-01,2022,11,32.46,96.44,85.87,0.472,0.318,1587411,125.82,52.24,73.05,0.87,601,37.86,1
Sokoto,9.4468,11.8868,2019-09-01,2019,9,30.47,165.95,59.46,0.857,0.573,1604041,118.06,60.2,47.12,0.83,515,32.11,1
Lagos,8.7766,12.3756,2025-09-01,2025,9,28.88,119.06,73.38,0.667,0.532,1031706,120.49,38.4,40.92,-1.55,584,56.61,1
Lagos,13.5445,7.4908,2025-04-01,2025,4,26.93,318.1,68.28,0.565,0.151,87487,108.11,34.36,52.81,-0.79,539,616.09,1
Anambra,8.4716,3.3147,2025-07-01,2025,7,23.57,119.77,82.92,0.33,0.558,1932828,99.95,26.78,63.59,0.2,625,32.34,1
Lagos,11.9281,13.1511,2025-02-01,2025,2,28.9,144.84,59.29,0.416,0.499,1432193,100.16,48.19,35.6,-0.35,302,21.09,0
Niger,13.3834,13.4816,2018-07-01,2018,7,29.16,204.74,65.78,0.432,0.326,2898418,120.35,34.92,32.06,-0.13,491,16.94,0
Borno,12.9684,11.5303,2023-10-01,2023,10,29.62,91.76,72.41,0.582,0.165,1755585,106.8,66.63,27.69,-3.59,417,23.75,0
Kebbi,4.8642,6.7055,2024-03-01,2024,3,26.3,189.54,73.01,0.525,0.572,2641923,116.85,51.7,20.35,-0.92,503,19.04,1
Lagos,7.1775,6.4131,2019-07-01,2019,7,30.03,96.24,76.77,0.583,0.449,1031153,111.24,69.36,67.9,0.8,563,54.6,1
Niger,4.9606,11.3288,2023-09-01,2023,9,30.56,151.74,80.93,0.564,0.587,1305617,130.39,73.33,83.1,-1.55,608,46.57,1
Lagos,9.2831,11.7645,2023-04-01,2023,4,25.86,107.91,86.18,0.465,0.537,1904054,101.11,48.6,5.0,0.71,356,18.7,0
Cross River,4.7932,10.2275,2025-04-01,2025,4,29.69,127.08,63.76,0.459,0.447,1796282,103.09,70.73,37.14,0.05,483,26.89,0
Akwa Ibom,11.1118,10.6123,2025-09-01,2025,9,32.3,163.82,85.75,0.821,0.453,1465062,117.69,62.54,43.8,-1.41,541,36.93,1
Benue,8.9478,8.9039,2021-10-01,2021,10,20.44,172.89,71.91,0.515,0.425,1628169,104.15,61.11,48.55,-0.18,544,33.41,1
Benue,8.9762,9.8845,2019-02-01,2019,2,29.36,70.3,83.48,0.543,0.627,824071,117.15,72.62,69.57,1.53,517,62.74,1
Kebbi,5.3578,3.3383,2023-08-01,2023,8,27.76,163.31,79.6,0.607,0.333,1831157,112.48,64.2,16.6,-1.22,412,22.5,0
Kano,13.023,10.874,2021-04-01,2021,4,26.18,191.91,81.65,0.443,0.839,2366994,115.8,65.05,66.68,-0.84,534,22.56,1
Borno,10.6809,13.0295,2025-11-01,2025,11,31.62,115.76,87.78,0.452,0.235,1077236,106.43,61.01,53.6,-0.52,626,58.11,1
Oyo,13.3182,6.0291,2022-05-01,2022,5,35.23,69.29,77.36,0.771,0.211,2247649,113.9,84.93,45.77,2.06,524,23.31,1
Sokoto,9.7095,10.04,2025-10-01,2025,10,26.9,162.51,49.66,0.732,0.587,1307550,97.81,46.54,60.82,-1.71,492,37.63,0
Enugu,12.1754,8.4593,2023-08-01,2023,8,25.97,183.79,97.2,0.427,0.418,229869,112.03,67.39,50.8,-1.82,524,227.96,1
Lagos,12.6182,10.71,2022-01-01,2022,1,22.52,260.25,70.29,0.563,0.454,1112467,103.73,64.77,44.21,-2.05,587,52.77,1
Lagos,10.7608,9.2454,2020-12-01,2020,12,24.7,234.46,72.17,0.5,0.536,2503216,94.87,50.8,38.22,2.18,450,17.98,0
Cross River,9.4943,11.456,2018-11-01,2018,11,25.69,186.77,86.56,0.59,0.671,2988341,132.21,70.88,8.8,0.59,463,15.49,0
Kano,11.8357,5.5032,2024-02-01,2024,2,30.75,75.55,70.94,0.432,0.455,1993060,117.52,59.19,19.06,1.31,398,19.97,0
Enugu,4.2498,10.5902,2020-06-01,2020,6,30.12,115.51,73.92,0.502,0.668,1782026,102.89,33.87,67.8,1.46,577,32.38,1
Benue,6.0738,4.8941,2022-11-01,2022,11,25.29,141.99,70.02,0.484,0.338,1085016,100.52,67.01,79.25,-0.02,546,50.32,1
Niger,9.5003,4.3838,2018-11-01,2018,11,24.08,108.66,71.74,0.444,0.638,1874682,101.84,46.61,53.73,-0.54,485,25.87,0
Benue,12.3956,9.0717,2023-06-01,2023,6,27.33,117.39,76.5,0.232,0.337,547502,99.08,73.86,45.47,0.36,533,97.35,1
Rivers,12.5292,7.6166,2025-07-01,2025,7,28.66,132.19,96.66,0.275,0.464,488598,109.24,31.15,33.62,-0.3,506,103.56,1
Kebbi,11.4344,6.5501,2025-05-01,2025,5,32.19,92.44,85.99,0.451,0.378,2111882,112.05,55.88,52.9,-0.38,463,21.92,0
Kaduna,8.234,7.2725,2021-02-01,2021,2,32.35,97.49,62.32,0.452,0.964,2439406,113.91,68.32,40.97,1.44,427,17.5,0
Cross River,4.5809,6.7126,2020-02-01,2020,2,33.62,304.49,70.9,0.515,0.081,1578996,115.72,73.13,44.81,-0.69,589,37.3,1
Sokoto,12.2306,10.1253,2024-06-01,2024,6,26.59,198.93,88.97,0.598,0.737,1176350,119.57,55.49,45.22,-1.41,633,53.81,1
